Namn på organisation,Org nr organisation,Postort organisation,Lagstöd verksamhet,Status tillsynsobjekt,Lag verksamhetsinnehåll,Lagrum verksamhetsinnehåll,Typ av boende verksamhetsinnehåll
9vB ConV AB,559033-4255,SVALÖV,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
9vB Sverige AB,556980-7158,SVALÖV,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
9vB Sverige AB,556980-7158,SVALÖV,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
9vB Sverige AB,556980-7158,SVALÖV,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
A Domicil Hemtjänst AB,556948-2507,SKÄRHOLMEN,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
A Domicil Hemtjänst AB,556948-2507,SKÄRHOLMEN,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
A.R Real vård och omsorg AB,556929-5966,Uppsala,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"AAA Flerspråkig Assistans
 Care",670324-7087,Huddinge,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
A-Assistans LeiMir AB,556637-8963,Hudiksvall,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
A-Assistans LeiMir AB,556637-8963,Hudiksvall,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB Adela Omsorg,556844-3609,Solna,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
AB Adela Omsorg,556844-3609,Solna,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
AB Adela Omsorg,556844-3609,Solna,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB Assistansbyrån Vilja,556888-9132,Hudiksvall,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB Athena Ungdomshem,559311-1262,Partille,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
AB by:jessma,556825-1507,LIDINGÖ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB Cirrusgården Tidaholm,556958-0243,BROMMA,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"AB Cirrusgården Västra
 Mälardalen",559014-9091,BROMMA,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
AB Connext,556922-4412,Solna,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB Cunameira,556656-5346,PERSTORP,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB Falkenbergs Ungdomshem,559166-5426,BILLDAL,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
AB Göteborgs ungdomshem,559107-9008,Partille,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
AB Göteborgs ungdomshem,559107-9008,Partille,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
AB Gotländska HVB,559178-2643,Svedala,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
AB Hemstöd24 Omsorg,556927-9861,ÄLVSJÖ,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
AB Hemstöd24 Omsorg,556927-9861,ÄLVSJÖ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB Hemstöd24 Omsorg,556927-9861,ÄLVSJÖ,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
AB Individkraft,556948-1574,Nacka,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB Individkraft,556948-1574,Nacka,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB Individkraft,556948-1574,Nacka,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB Individkraft,556948-1574,Nacka,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB Individkraft,556948-1574,Nacka,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB KomTill - kommunikation och tillgänglighet,556867-6091,MÖLNDAL,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
"AB Lärkan, personlig assistans",556834-4732,ALTERSBRUK,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB OC Stöd och Boende,556849-1871,Nacka,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"AB Omsorgscompagniet i
 Norden",556640-2292,Nacka,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB Omsorgscompagniet i Norden,556640-2292,Nacka,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
AB Omsorgscompagniet i Norden,556640-2292,Nacka,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
AB OmsorgsCompagniet i Storstaden,556898-0287,Nacka,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
"AB OmsorgsCompagniet i
 Storstaden",556898-0287,Nacka,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
"AB OmsorgsCompagniet i
 Storstaden",556898-0287,Nacka,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
"AB OmsorgsCompagniet i
 Storstaden",556898-0287,Nacka,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Biträde av kontaktperson, LSS 9.4 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Bostad med särskild service för barn och ungdomar och familjehem, LSS 9.8 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Korttidsvistelse utanför hemmet, LSS 9.6 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Bostad med särskild service för barn och ungdomar och familjehem, LSS 9.8 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
AB SOLOM,556647-6700,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
AB Stabbarpsgården,556576-0518,ESLÖV,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
AB Stabbarpsgården,556576-0518,ESLÖV,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
AB Stabbarpsgården,556576-0518,ESLÖV,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
AB Stabbarpsgården,556576-0518,ESLÖV,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
"AB Stockholms Demens och
 Specialteam",556815-9775,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
"AB Stockholms Demens och
 Specialteam",556815-9775,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
"AB Stockholms Demens och
 Specialteam",556815-9775,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB Suavis Familjehemsvård,559279-4183,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
AB Tibble assistans,556662-5157,TÄBY,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB TUNAPACK,556650-7827,JÄRNA,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB Ung Destination,556982-7214,UPPLANDS VÄSBY,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
AB Varbergs Ungdomshem,556871-1435,BILLDAL,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
AB Vesta Care,556843-1521,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
AB Vesta Care,556843-1521,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
AB Vesta Care,556843-1521,Sollentuna,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB Villa Björkudden,556644-3510,GYTTORP,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
AB Villa Björkudden,556644-3510,GYTTORP,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AB Visa Omsorg Mälardalen,559037-4806,Uppsala,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
AB Wera Omsorg,556867-1720,Farsta,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
AB WINTERGREEN,556768-9616,ROSERSBERG,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"ABA Assistans
 Kommanditbolag",969663-9435,Motala,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Abborre hemtjänst städ &
 personlig assistans AB",556803-9969,KISTA,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
"Abborre hemtjänst städ &
 personlig assistans AB",556803-9969,KISTA,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
Abborre hemtjänst städ & personlig assistans AB,556803-9969,KISTA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
ABC Jourhem och Familjehem AB,556656-9504,HÄGERSTEN,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Aberia Assistans AB,556686-9359,SKENE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Aberia Personlig Assistans AB,556625-6946,SKENE,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
ABF Mitt Skåne,802454-1313,Eslöv,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Abila Öppenvård AB,556762-2518,Falun,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Ability Care Aktiebolag,556926-5696,Uppsala,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Ability Care Aktiebolag,556926-5696,Uppsala,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
"Absoluta Omsorgen Sverige
 AB",556713-3128,JÄRFÄLLA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Åbykulle AB,556640-9230,HÖLÖ,Tillståndspliktig,Aktiv,LSS,"Bostad med särskild service för barn och ungdomar och familjehem, LSS 9.8 p",
Åbykulle AB,556640-9230,HÖLÖ,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Åbykulle AB,556640-9230,HÖLÖ,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Åbykulle AB,556640-9230,HÖLÖ,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Åbykulle AB,556640-9230,HÖLÖ,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Åbykulle AB,556640-9230,HÖLÖ,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Åbykulle AB,556640-9230,HÖLÖ,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Åbykulle AB,556640-9230,HÖLÖ,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Acceptansia Consulting AB,556824-5855,BROMMA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Acceptio AB,559342-2610,Solna,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
ACCES Personlig Assistans AB,556848-5048,GUSTAFS,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Accresco Assistans AB,556896-6849,VÄSTERÅS,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Accresco ekonomisk förening,769619-7040,VÄSTERÅS,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
ACCURA/Ulla Lindström,460403-2807,Växjö,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Actitreat AB,556938-5346,Vikbolandet,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Actitreat AB,556938-5346,Vikbolandet,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Active Life Assistans Swe AB,556775-1028,Sundsvall,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Active Omsorg i Linköping AB,556604-4888,DANDERYD,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Active Omsorg i Linköping AB,556604-4888,DANDERYD,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Active Omsorg i Linköping AB,556604-4888,DANDERYD,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Active Omsorg i Linköping AB,556604-4888,DANDERYD,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Active Omsorg i Linköping AB,556604-4888,DANDERYD,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Active Omsorg i Linköping AB,556604-4888,DANDERYD,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Active Omsorg i Linköping AB,556604-4888,DANDERYD,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Active Omsorg i Linköping AB,556604-4888,DANDERYD,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Active Omsorg i Linköping AB,556604-4888,DANDERYD,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Activlink AB,559045-4392,GÖTEBORG,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Activlink AB,559045-4392,GÖTEBORG,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AD Assistans AB,556744-7999,Enskede,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Addera Assistans AB,559173-4024,Ljusdal,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Addera Familjeenheten AB,559267-7925,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Addes personliga assistans AB,556731-5451,KUNGSBACKA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Adela LSS AB,559025-4032,Solna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Adela LSS AB,559025-4032,Solna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Adela LSS AB,559025-4032,Solna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Adela LSS AB,559025-4032,Solna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Adela LSS AB,559025-4032,Solna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
Adela LSS AB,559025-4032,Solna,Tillståndspliktig,Aktiv,LSS,"Boende med anpassningar eller särskild service för vuxna, LSS 9.9 p",
ADEMCO AB,559098-2558,Solna,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Adensa AB,556852-1503,JÄRFÄLLA,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Adeocare AB,556859-0938,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Adeocare AB,556859-0938,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Avlösarservice i hemmet, LSS 9.5 p",
Adeocare AB,556859-0938,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Ledsagarservice, LSS 9.3 p",
Adisa Aktiebolag,556726-6407,ASKIM,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Adium Omsorg Aktiebolag,556669-9004,MALMÖ,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
Adonia Omsorg AB,556931-7158,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Adonia Omsorg AB,556931-7158,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Adonia Omsorg AB,556931-7158,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Adonia Omsorg AB,556931-7158,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
Adonia Omsorg AB,556931-7158,GÖTEBORG,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
"Adulis Läkarkonsult Consulting & Trading Co
 Aktiebolag",556318-7946,STOCKHOLM,Tillståndspliktig,Aktiv,LSS,"Anordnare av personlig assistans, LSS 9.2 p",
"Advenio barn och
 ungdomsgrupp",870423-3405,Sollentuna,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Adveniogruppen AB,559327-0092,Sollentuna,Tillståndspliktig,Aktiv,SoL,"Konsulentstödd familjehemsvård, SoL 7.1.5",
Adventum Vård AB,556330-3030,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Adventum Vård AB,556330-3030,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Adventum Vård AB,556330-3030,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Adventum Vård AB,556330-3030,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
Adventum Vård AB,556330-3030,STOCKHOLM,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",HVB
AFU Sequitur AB,556736-1075,VÄLLINGBY,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AFU Sequitur AB,556736-1075,VÄLLINGBY,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AFU Sequitur AB,556736-1075,VÄLLINGBY,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AFU Sequitur AB,556736-1075,VÄLLINGBY,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
AFU Sequitur AB,556736-1075,VÄLLINGBY,Tillståndspliktig,Aktiv,LSS,"Daglig verksamhet för personer i yrkesverksam ålder, LSS 9.10 p",
Agera24 AB,559059-1516,KISTA,Tillståndspliktig,Aktiv,SoL,"Stödboende eller hem för vård eller boende (HVB), SoL 7.1.1",Stödboende
